postcode,Latitude,Longitude
NN10 0DP,52.292734,-0.592462
NN10 0RH,52.287024,-0.595399
NN15 5QX,52.364995,-0.685426
NN15 6DB,52.391247,-0.723869
NN15 7QN,52.395299,-0.726163
NN16 0HB,52.397263,-0.721535
NN16 0HE,52.398165,-0.71685
NN16 0JQ,52.401838,-0.71473
NN16 0LD,52.402537,-0.708771
NN16 0PJ,52.406552,-0.705934
NN16 0RF,52.400259,-0.71676
NN16 0RU,52.399181,-0.718467
NN16 0RU,52.399181,-0.718467
NN16 0SB,52.399001,-0.721794
NN16 0TA,52.399072,-0.719205
NN16 8EB,52.402187,-0.732903
NN16 8EG,52.403416,-0.732691
NN16 8EH,52.403004,-0.730277
NN16 8ER,52.403739,-0.730947
NN16 8EU,52.404477,-0.728515
NN16 8JR,52.404035,-0.731718
NN16 8NB,52.404113,-0.719779
NN16 8NB,52.404113,-0.719779
NN16 8QG,52.40509,-0.724514
NN16 8QG,52.40509,-0.724514
NN16 8QP,52.404501,-0.72409
NN16 8QQ,52.40591,-0.722153
NN16 8XY,52.403207,-0.715807
NN16 8YA,52.404284,-0.712292
NN16 9DA,52.405079,-0.73182
NN16 9QB,52.40739,-0.719346
NN16 9RL,52.409469,-0.725329
NN16 9RP,52.408461,-0.72527
NN16 9SA,52.407726,-0.71966
NN17 1DR,52.499781,-0.68838
NN17 1XE,52.490573,-0.678535
NN17 2AN,52.50196,-0.704992
NN17 2AN,52.50196,-0.704992
NN17 2HB,52.503997,-0.708748
NN17 2JD,52.503604,-0.716421
NN17 2LL,52.504741,-0.715106
NN17 2LL,52.504741,-0.715106
NN17 2LL,52.504741,-0.715106
NN17 2LN,52.504709,-0.717126
NN17 2LW,52.504794,-0.714206
NN17 2PL,52.498712,-0.721277
NN17 2QR,52.500625,-0.721885
NN17 2QR,52.500625,-0.721885
NN17 2QX,52.50084,-0.721024
NN17 2QY,52.500185,-0.716211
NN17 2SS,52.493731,-0.720406
NN17 2TN,52.49232,-0.720447
NN17 2TW,52.496583,-0.719807
NN18 0AH,52.488469,-0.722723
NN18 0BD,52.49024,-0.726059
NN18 0BH,52.489983,-0.724697
NN18 0DG,52.491699,-0.729582
NN18 0DR,52.490663,-0.729405
NN18 0DR,52.490663,-0.729405
NN18 0DT,52.490041,-0.727553
NN18 0DX,52.488438,-0.727319
NN18 0DY,52.488365,-0.728087
NN18 0ER,52.48691,-0.717378
NN18 0JA,52.482426,-0.724238
NN18 0JS,52.485759,-0.725688
NN18 0NS,52.481804,-0.72165
NN18 0NS,52.481804,-0.72165
NN18 0NY,52.484011,-0.720334
NN18 0PH,52.484946,-0.719482
NN18 0RX,52.485876,-0.706643
NN18 0RX,52.485876,-0.706643
NN18 0RX,52.485876,-0.706643
NN18 0RY,52.485326,-0.709781
NN18 0RY,52.485326,-0.709781
NN18 0RY,52.485326,-0.709781
NN18 0SG,52.484408,-0.710544
NN18 0SN,52.484598,-0.701629
NN18 8BS,52.480246,-0.699092
NN18 8BZ,52.482601,-0.699037
NN18 8EA,52.480936,-0.693961
NN18 8EE,52.481106,-0.693132
NN18 8EE,52.481106,-0.693132
NN18 8EG,52.480007,-0.694534
NN18 8EG,52.480007,-0.694534
NN18 8FR,52.460391,-0.73194
NN18 9AU,52.480567,-0.723659
NN18 9BA,52.479053,-0.723305
NN18 9BA,52.479053,-0.723305
NN18 9BB,52.480272,-0.718823
NN18 9BJ,52.480952,-0.715976
NN18 9BN,52.479594,-0.721758
NN18 9BW,52.480099,-0.720227
NN18 9DE,52.469979,-0.728058
NN18 9DE,52.469979,-0.728058
NN18 9DJ,52.47168,-0.728215
NN18 9DJ,52.47168,-0.728215
NN18 9HB,52.476702,-0.717027
NN18 9HL,52.480202,-0.71479
NN18 9JA,52.477986,-0.712808
NN18 9JB,52.477187,-0.713685
NN18 9JB,52.477187,-0.713685
NN18 9JD,52.476303,-0.715139
NN18 9JG,52.475589,-0.716382
NN18 9JN,52.475122,-0.717323
NN18 9JP,52.47343,-0.721274
NN18 9JS,52.47349,-0.720139
NN18 9LJ,52.482728,-0.709857
NN18 9LL,52.482404,-0.704005
NN18 9LS,52.483442,-0.702753
NN18 9NH,52.485345,-0.692697
NN8 1ER,52.30552,-0.687773
NN8 3EH,52.298853,-0.729296
NN8 3NR,52.300114,-0.716208
NN8 3TH,52.303892,-0.716362
NN8 3TP,52.306933,-0.713326
NN8 3TP,52.306933,-0.713326
NN8 3TR,52.306235,-0.711938
NN8 4RA,52.305016,-0.695899
